DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2023-01-07 17:47:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6336208,22.3387368,19.757601,0
2023-01-07 18:01:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6336208,22.401477,19.99467973,0.000825436
2023-01-07 18:15:02,4135001,1BY6WEcLGh8j5v7,130.88,12.65,1.38,6336209.38,22.49571679,20.22972107,0.010563489
2023-01-07 18:29:02,4135001,1BY6WEcLGh8j5v7,396.43,38.33,7.57,6336215.57,22.62713007,20.66840413,0.028758912
2023-01-07 18:43:02,4135001,1BY6WEcLGh8j5v7,709.86,68.8,19.71,6336227.71,22.84106447,21.28203347,0.05068186
2023-01-07 18:57:02,4135001,1BY6WEcLGh8j5v7,1155.13,112.31,41.88,6336249.88,23.17152307,22.29486493,0.084808915
2023-01-07 19:11:02,4135001,1BY6WEcLGh8j5v7,1743.71,170.76,76.71,6336284.71,23.54695427,23.86682333,0.158288559
2023-01-07 19:25:02,4135001,1BY6WEcLGh8j5v7,2433.88,238.66,128.25,6336336.25,23.94607947,26.17003387,0.21528912
2023-01-07 19:39:02,4135001,1BY6WEcLGh8j5v7,3162.29,310.74,197.43,6336405.43,24.41617833,29.170227,0.271746877
2023-01-07 19:53:02,4135001,1BY6WEcLGh8j5v7,3963.5,389.44,285,6336493,24.91252433,32.15568047,0.330588588
2023-01-07 20:07:02,4135001,1BY6WEcLGh8j5v7,4779.57,468.81,391.86,6336599.86,25.35419907,35.4985922,0.395762367
2023-01-07 20:21:02,4135001,1BY6WEcLGh8j5v7,5559.63,544.88,518.75,6336726.75,26.09695007,39.08639957,0.451373351
2023-01-07 20:35:02,4135001,1BY6WEcLGh8j5v7,6380.43,625.06,664.86,6336872.86,26.6344054,41.77922547,0.50800591
2023-01-07 20:49:02,4135001,1BY6WEcLGh8j5v7,7068.75,692.21,828.88,6337036.88,26.99952593,43.4644392,0.56084592
2023-01-07 21:03:02,4135001,1BY6WEcLGh8j5v7,7754.14,759.11,1010.14,6337218.14,27.20573713,45.21238613,0.615290657
2023-01-07 21:17:02,4135001,1BY6WEcLGh8j5v7,8363.5,818.5,1207,6337415,27.668807,48.98255793,0.666398724
2023-01-07 21:31:02,4135001,1BY6WEcLGh8j5v7,8831.71,864.1,1419.43,6337627.43,27.95082393,51.05456967,0.720145867
2023-01-07 21:45:02,4135001,1BY6WEcLGh8j5v7,8740.88,854.95,1648.5,6337856.5,28.3790078,53.2701114,0.766008027
2023-01-07 21:59:02,4135001,1BY6WEcLGh8j5v7,9776.43,955.99,1861.14,6338069.14,28.9688944,54.07523427,0.815546264
2023-01-07 22:13:02,4135001,1BY6WEcLGh8j5v7,7878.5,770.31,2087.13,6338295.13,29.61952421,55.34798971,0.719329505
2023-01-07 22:27:02,4135001,1BY6WEcLGh8j5v7,9994.29,975.69,2307.43,6338515.43,29.5801188,57.320168,0.984109057
2023-01-07 22:41:02,4135001,1BY6WEcLGh8j5v7,11196.71,1092.41,2569.29,6338777.29,29.96776533,59.42428573,0.852110657
2023-01-07 22:55:02,4135001,1BY6WEcLGh8j5v7,12465.38,1215.39,2844,6339052,30.10053313,56.94452307,0.988618099
2023-01-07 23:09:02,4135001,1BY6WEcLGh8j5v7,8729,853.13,3129.29,6339337.29,30.31374713,55.35706793,0.580431214
2023-01-07 23:23:02,4135001,1BY6WEcLGh8j5v7,10416.25,1016.23,3337.88,6339545.88,30.50551153,57.03130307,0.838770058
2023-01-07 23:37:02,4135001,1BY6WEcLGh8j5v7,11101.29,1083.93,3592.43,6339800.43,30.71699633,52.6329488,0.705263953
2023-01-07 23:51:02,4135001,1BY6WEcLGh8j5v7,9688.13,946.08,3824.63,6340032.63,30.90061507,53.412794,0.688090579
2023-01-08 00:05:02,4135001,1BY6WEcLGh8j5v7,12465.86,1215.43,4102.71,6340310.71,31.35813793,59.133262,1.054155981
2023-01-08 00:19:02,4135001,1BY6WEcLGh8j5v7,7978.38,780.01,4329,6340537,31.57839347,54.04231973,0.544855549
2023-01-08 00:33:02,4135001,1BY6WEcLGh8j5v7,11016,1075.64,4568.29,6340776.29,32.03025313,59.7176536,1.008637932
2023-01-08 00:47:02,4135001,1BY6WEcLGh8j5v7,8358.5,816.75,4830.88,6341038.88,32.626951,60.1761166,0.682372855
2023-01-08 01:01:02,4135001,1BY6WEcLGh8j5v7,7520.29,735.24,4980.43,6341188.43,32.068638,50.04413893,0.591846789
2023-01-08 01:15:02,4135001,1BY6WEcLGh8j5v7,11568.25,1128.63,5244.25,6341452.25,32.80097027,58.15341173,0.818109888
2023-01-08 01:29:02,4135001,1BY6WEcLGh8j5v7,11163.86,1090.24,5525.71,6341733.71,33.18527407,61.56432687,0.956640629
2023-01-08 01:43:02,4135001,1BY6WEcLGh8j5v7,7640.88,747.79,5761.25,6341969.25,33.488021,59.6638592,0.718815376
2023-01-08 01:57:02,4135001,1BY6WEcLGh8j5v7,3579.43,351.43,5882.14,6342090.14,32.70759336,48.42773879,0.24348246
2023-01-08 02:11:02,4135001,1BY6WEcLGh8j5v7,7645.57,747.94,6037.57,6342245.57,32.27215373,44.45963127,0.445260018
2023-01-08 02:25:02,4135001,1BY6WEcLGh8j5v7,4606.63,452.08,6176.13,6342384.13,32.34491993,43.7751686,0.302484416
2023-01-08 02:39:02,4135001,1BY6WEcLGh8j5v7,3427.29,336.69,6282.43,6342490.43,32.281588,41.69365867,0.327377192
2023-01-08 02:53:02,4135001,1BY6WEcLGh8j5v7,4044.25,396.79,6371.88,6342579.88,32.39553247,42.82737193,0.319140978
2023-01-08 03:07:02,4135001,1BY6WEcLGh8j5v7,8624,843.83,6528.71,6342736.71,32.8598512,46.55671167,0.536137697
2023-01-08 03:21:02,4135001,1BY6WEcLGh8j5v7,7183.63,703.41,6724.75,6342932.75,33.26259353,48.231889,0.528659957
2023-01-08 03:35:02,4135001,1BY6WEcLGh8j5v7,4117.43,403.87,6856.29,6343064.29,33.40587707,46.34387413,0.37085346
2023-01-08 03:49:02,4135001,1BY6WEcLGh8j5v7,5884.88,576.7,6985.75,6343193.75,33.26564864,44.92023793,0.451576416
2023-01-08 04:03:02,4135001,1BY6WEcLGh8j5v7,4709.86,462,7114,6343322,33.16755933,43.82860907,0.393078585
2023-01-08 04:17:02,4135001,1BY6WEcLGh8j5v7,5368.5,526.23,7238.38,6343446.38,33.05929993,42.80125093,0.425120669
2023-01-08 04:31:02,4135001,1BY6WEcLGh8j5v7,3810.86,373.87,7362.43,6343570.43,33.04103613,42.6021344,0.310996479
2023-01-08 04:45:02,4135001,1BY6WEcLGh8j5v7,945.13,91.8,7414.75,6343622.75,32.0835266,36.0457806,0.069906493
2023-01-08 04:59:02,4135001,1BY6WEcLGh8j5v7,614,59.41,7433,6343641,31.25639433,31.67289847,0.044067813
2023-01-08 05:13:02,4135001,1BY6WEcLGh8j5v7,482,46.64,7446.75,6343654.75,30.51948247,30.25139567,0.03526559
2023-01-08 05:27:02,4135001,1BY6WEcLGh8j5v7,340.29,32.87,7456.43,6343664.43,29.59416113,29.09356687,0.026555099
2023-01-08 05:41:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,28.737601,27.42860421,0.012341526
2023-01-08 05:55:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,28.44485467,26.5186422,0.000690927
2023-01-08 06:09:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,28.23783153,26.15416267,0
2023-01-08 06:23:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,28.0495422,25.89157707,0
2023-01-08 06:37:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,27.28030193,25.3176128,0
2023-01-08 06:51:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,26.34422813,24.45626427,0
2023-01-08 07:05:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,25.80482787,23.43174233,0
2023-01-08 07:19:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,25.6798888,22.87546187,0
2023-01-08 07:33:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,26.31762287,23.06435553,0
2023-01-08 07:47:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,26.73703436,23.77153671,0
2023-01-08 08:01:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,26.739679,24.4989238,0
2023-01-08 08:15:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,26.86095393,25.53957727,0
2023-01-08 08:29:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,26.75190227,25.910893,0
2023-01-08 08:43:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,25.95031553,24.79129033,0
2023-01-08 08:57:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,25.97059127,24.29259233,0
2023-01-08 09:11:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,25.9664206,24.10255747,0
2023-01-08 09:25:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,25.97672327,23.80661227,0
2023-01-08 09:39:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,25.81025914,23.5601895,0
2023-01-08 09:53:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,25.31260167,23.81564927,0
2023-01-08 10:07:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.9593444,23.30047207,0
2023-01-08 10:21:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.6627584,22.656899,0
2023-01-08 10:35:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.45834153,22.1916648,0
2023-01-08 10:49:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.35063673,21.8250304,0
2023-01-08 11:03:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.3878704,21.7501342,0
2023-01-08 11:17:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.41160473,21.65298853,0
2023-01-08 11:31:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.43953853,21.8520548,0
2023-01-08 11:45:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.47894071,22.0078015,0
2023-01-08 11:59:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.5569438,22.1949502,0
2023-01-08 12:13:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.6097004,22.21863807,0
2023-01-08 12:27:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.59573773,22.00262447,0
2023-01-08 12:41:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.378357,21.57012353,0
2023-01-08 12:55:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.29530833,21.20904747,0
2023-01-08 13:09:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.3853394,21.54802453,0
2023-01-08 13:23:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,24.11521193,22.05081173,0
2023-01-08 13:37:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,24.20928079,22.25391936,0
2023-01-08 13:51:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,24.11397707,21.96325473,0
2023-01-08 14:05:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,24.00773507,21.68212693,0
2023-01-08 14:19:02,4135001,1BY6WEcLGh8j5v7,0,0,0,6343669,23.8672546,21.50230327,0
